NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    6m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  214m         246Mi           
audit-service-worker-68b97fc746-2qmwp                          154m         165Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 24m          159Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 16m          149Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          33m          172Mi           
channel-service-worker-5c9d777cc-6c6rp                         191m         189Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          22m          140Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          25m          146Mi           
connector-runtime-5fdbcfb8b4-49dlh                             68m          125Mi           
connector-runtime-5fdbcfb8b4-96brl                             57m          115Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             53m          117Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             74m          112Mi           
connector-runtime-5fdbcfb8b4-bvpws                             62m          122Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             62m          124Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             59m          113Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             69m          111Mi           
connector-runtime-5fdbcfb8b4-m67fc                             60m          110Mi           
connector-runtime-5fdbcfb8b4-ngcch                             60m          115Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             53m          124Mi           
connector-runtime-5fdbcfb8b4-pskwr                             53m          117Mi           
connector-runtime-5fdbcfb8b4-spq9x                             67m          114Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             71m          108Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             60m          111Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             26m          171Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  34m          93Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 20m          174Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         18m          195Mi           
workflow-service-worker-759b6bb446-j5qsl                       113m         160Mi           
workflow-service-worker-759b6bb446-khskx                       76m          221Mi           
workflow-service-worker-759b6bb446-pvwnw                       116m         216Mi           
workflow-worker-5586c8f57f-gfs6s                               146m         291Mi           
workflow-worker-5586c8f57f-gp4v9                               231m         305Mi           
workflow-worker-5586c8f57f-jzxhp                               259m         526Mi           
workflow-worker-5586c8f57f-lrfd8                               298m         300Mi           
workflow-worker-5586c8f57f-m8l46                               303m         524Mi           
workflow-worker-5586c8f57f-mk2p2                               320m         504Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      9m           182Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   12m          131Mi           
