NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        20m          198Mi           
loki-f494d47fc-4r5m8                            34m          302Mi           
nats-0                                          92m          151Mi           
otel-collector-7c5f854bff-9cm7x                 19m          144Mi           
postgres-0                                      12m          60Mi            
postgres-shared-1                               82m          416Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           22Mi            
postgres-temporal-1                             878m         761Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           15Mi            
postgres-temporal-visibility-1                  191m         395Mi           
postgres-usage-shared-1                         12m          105Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   21m          33Mi            
prometheus-f8c575d6-hv9ns                       58m          289Mi           
promtail-g2h5r                                  33m          97Mi            
redis-0                                         10m          7Mi             
redis-1                                         19m          8Mi             
redis-2                                         13m          8Mi             
redis-3                                         11m          15Mi            
redis-4                                         13m          6Mi             
redis-5                                         11m          8Mi             
tempo-5b7d95dd77-ksbbd                          29m          429Mi           
temporal-frontend-75cc7458d4-trdjh              109m         68Mi            
temporal-frontend-75cc7458d4-zjpnp              139m         66Mi            
temporal-history-5c9497b4b5-8k5mf               495m         453Mi           
temporal-history-5c9497b4b5-q4gg4               500m         423Mi           
temporal-matching-db68d7db9-74fwz               106m         63Mi            
temporal-matching-db68d7db9-j6cnx               99m          58Mi            
temporal-ui-6d77df47d8-v228h                    2m           29Mi            
temporal-worker-7868fc57-rhfvl                  12m          41Mi            
temporal-worker-7868fc57-vk66v                  10m          36Mi            
