NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        9m           266Mi           
loki-f494d47fc-4r5m8                            6m           477Mi           
nats-0                                          8m           119Mi           
otel-collector-7c5f854bff-9cm7x                 4m           170Mi           
postgres-0                                      4m           53Mi            
postgres-shared-1                               4m           349Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         7m           43Mi            
postgres-temporal-1                             28m          552Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           45Mi            
postgres-temporal-visibility-1                  7m           332Mi           
postgres-usage-shared-1                         9m           187Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   15m          41Mi            
prometheus-f8c575d6-hv9ns                       13m          298Mi           
promtail-g2h5r                                  17m          96Mi            
redis-0                                         7m           10Mi            
redis-1                                         7m           8Mi             
redis-2                                         7m           8Mi             
redis-3                                         6m           8Mi             
redis-4                                         6m           12Mi            
redis-5                                         6m           8Mi             
tempo-5b7d95dd77-ksbbd                          5m           237Mi           
temporal-frontend-75cc7458d4-trdjh              15m          72Mi            
temporal-frontend-75cc7458d4-zjpnp              37m          244Mi           
temporal-history-5c9497b4b5-8k5mf               33m          486Mi           
temporal-history-5c9497b4b5-q4gg4               6m           441Mi           
temporal-matching-db68d7db9-74fwz               12m          66Mi            
temporal-matching-db68d7db9-j6cnx               9m           70Mi            
temporal-ui-6d77df47d8-v228h                    1m           25Mi            
temporal-worker-7868fc57-rhfvl                  5m           42Mi            
temporal-worker-7868fc57-vk66v                  6m           40Mi            
