NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    1m           20Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  13m          216Mi           
auth-service-00001-deployment-66f6c7f79f-l96xq                 10m          160Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 8m           156Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          13m          188Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          6m           141Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          7m           147Mi           
connector-runtime-5fdbcfb8b4-49dlh                             13m          126Mi           
connector-runtime-5fdbcfb8b4-96brl                             12m          128Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             11m          127Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             11m          127Mi           
connector-runtime-5fdbcfb8b4-bvpws                             13m          134Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             16m          125Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             12m          127Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             9m           127Mi           
connector-runtime-5fdbcfb8b4-m67fc                             12m          129Mi           
connector-runtime-5fdbcfb8b4-ngcch                             11m          128Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             10m          126Mi           
connector-runtime-5fdbcfb8b4-pskwr                             15m          117Mi           
connector-runtime-5fdbcfb8b4-spq9x                             13m          128Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             14m          127Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             12m          128Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             10m          172Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  3m           55Mi            
tenant-service-00001-deployment-8fdb5774-8s8jw                 8m           177Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         9m           213Mi           
workflow-service-worker-759b6bb446-khskx                       12m          193Mi           
workflow-service-worker-759b6bb446-pvwnw                       12m          210Mi           
workflow-worker-5586c8f57f-gfs6s                               8m           300Mi           
workflow-worker-5586c8f57f-gp4v9                               9m           311Mi           
workflow-worker-5586c8f57f-jzxhp                               9m           526Mi           
workflow-worker-5586c8f57f-lrfd8                               9m           327Mi           
workflow-worker-5586c8f57f-m8l46                               9m           522Mi           
workflow-worker-5586c8f57f-mk2p2                               10m          492Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      3m           194Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   5m           136Mi           
