NAME                                            CPU(cores)   MEMORY(bytes)   
grafana-7755f6fbb4-qr24q                        13m          230Mi           
loki-f494d47fc-4r5m8                            32m          450Mi           
nats-0                                          22m          136Mi           
otel-collector-7c5f854bff-9cm7x                 16m          146Mi           
postgres-0                                      9m           57Mi            
postgres-shared-1                               42m          368Mi           
postgres-shared-pooler-5bb98c8df5-zqfq6         1m           36Mi            
postgres-temporal-1                             303m         528Mi           
postgres-temporal-pooler-7cf5db6b95-hsd6n       1m           38Mi            
postgres-temporal-visibility-1                  91m          360Mi           
postgres-usage-shared-1                         8m           113Mi           
postgres-usage-shared-pooler-794766c787-6xfpn   1m           41Mi            
prometheus-f8c575d6-hv9ns                       30m          304Mi           
promtail-g2h5r                                  25m          75Mi            
redis-0                                         12m          7Mi             
redis-1                                         16m          8Mi             
redis-2                                         12m          8Mi             
redis-3                                         12m          8Mi             
redis-4                                         8m           12Mi            
redis-5                                         10m          8Mi             
tempo-5b7d95dd77-ksbbd                          502m         511Mi           
temporal-frontend-75cc7458d4-trdjh              41m          70Mi            
temporal-frontend-75cc7458d4-zjpnp              50m          154Mi           
temporal-history-5c9497b4b5-8k5mf               53m          649Mi           
temporal-history-5c9497b4b5-q4gg4               258m         758Mi           
temporal-matching-db68d7db9-74fwz               35m          60Mi            
temporal-matching-db68d7db9-j6cnx               33m          58Mi            
temporal-ui-6d77df47d8-v228h                    1m           16Mi            
temporal-worker-7868fc57-rhfvl                  11m          42Mi            
temporal-worker-7868fc57-vk66v                  11m          36Mi            
