NAME                                                           CPU(cores)   MEMORY(bytes)   
admin-console-00001-deployment-579f74-gts4p                    2m           18Mi            
api-gateway-00001-deployment-6bd675bc58-wq94p                  51m          371Mi           
auth-service-00001-deployment-66f6c7f79f-6879b                 34m          153Mi           
cache-service-00001-deployment-c745d49f5-f2zss                 24m          170Mi           
channel-service-api-00001-deployment-778dff9b99-j5qgs          28m          189Mi           
connector-admin-api-00001-deployment-694d479cd6-mdsvg          32m          148Mi           
connector-admin-api-00001-deployment-694d479cd6-pw2hk          15m          148Mi           
connector-runtime-5fdbcfb8b4-49dlh                             27m          125Mi           
connector-runtime-5fdbcfb8b4-96brl                             34m          117Mi           
connector-runtime-5fdbcfb8b4-b9g9v                             22m          123Mi           
connector-runtime-5fdbcfb8b4-bb4gn                             40m          120Mi           
connector-runtime-5fdbcfb8b4-bvpws                             44m          122Mi           
connector-runtime-5fdbcfb8b4-fxcp7                             29m          124Mi           
connector-runtime-5fdbcfb8b4-j9gnp                             31m          119Mi           
connector-runtime-5fdbcfb8b4-lbfhf                             30m          119Mi           
connector-runtime-5fdbcfb8b4-m67fc                             33m          121Mi           
connector-runtime-5fdbcfb8b4-ngcch                             54m          119Mi           
connector-runtime-5fdbcfb8b4-nl2l4                             37m          126Mi           
connector-runtime-5fdbcfb8b4-pskwr                             44m          116Mi           
connector-runtime-5fdbcfb8b4-spq9x                             29m          129Mi           
connector-runtime-5fdbcfb8b4-tvdk2                             35m          133Mi           
connector-runtime-5fdbcfb8b4-v2mv2                             26m          119Mi           
registry-service-00001-deployment-6dcdd4f6f5-blbh2             39m          178Mi           
stress-sink-00001-deployment-5c98d995d7-mzgzn                  22m          105Mi           
tenant-service-00001-deployment-8fdb5774-8s8jw                 28m          183Mi           
workflow-service-api-00001-deployment-6767768476-gqzmr         29m          195Mi           
workflow-service-worker-759b6bb446-khskx                       20m          196Mi           
workflow-service-worker-759b6bb446-pvwnw                       48m          215Mi           
workflow-worker-5586c8f57f-gfs6s                               96m          417Mi           
workflow-worker-5586c8f57f-gp4v9                               103m         405Mi           
workflow-worker-5586c8f57f-jzxhp                               154m         536Mi           
workflow-worker-5586c8f57f-lrfd8                               116m         428Mi           
workflow-worker-5586c8f57f-m8l46                               137m         531Mi           
workflow-worker-5586c8f57f-mk2p2                               109m         502Mi           
yoizenclaw-admin-service-00001-deployment-cf945cc86-zlvvt      10m          201Mi           
yoizenclaw-runtime-gateway-00001-deployment-5968cc7ffd-l4frv   26m          134Mi           
